,iteration,vote_uncertain_sampling,sampling_entropy,vote_disagreement,random_choice,SVC_poly,RandomForestClassifier,SVC_rbf,GaussianPC,GaussianNB,MLPClassifier
139,139,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5892857142857143,0.5535714285714286,0.5714285714285714,0.5714285714285714
140,140,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5892857142857143,0.5178571428571429,0.5892857142857143,0.5714285714285714
141,141,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.5892857142857143,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5178571428571429,0.5892857142857143,0.5714285714285714
142,142,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.5357142857142857,0.6071428571428571,0.5714285714285714
143,143,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.625,0.6071428571428571,0.5892857142857143,0.5357142857142857,0.6071428571428571,0.5892857142857143
144,144,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5357142857142857,0.5714285714285714,0.5178571428571429,0.5892857142857143,0.5892857142857143
145,145,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5535714285714286,0.5714285714285714,0.5178571428571429,0.5892857142857143,0.5535714285714286
146,146,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.5892857142857143,0.5714285714285714,0.5892857142857143,0.5357142857142857,0.5892857142857143,0.5535714285714286
147,147,0.625,0.625,0.625,0.625,0.5892857142857143,0.625,0.5892857142857143,0.5357142857142857,0.5892857142857143,0.5714285714285714
148,148,0.625,0.625,0.625,0.625,0.5892857142857143,0.6071428571428571,0.5892857142857143,0.5357142857142857,0.5892857142857143,0.5714285714285714
149,149,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5892857142857143,0.5714285714285714,0.5892857142857143,0.5357142857142857,0.5892857142857143,0.5714285714285714
150,150,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5892857142857143,0.5178571428571429,0.5892857142857143,0.5357142857142857,0.5892857142857143,0.5714285714285714
151,151,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.5892857142857143,0.5357142857142857,0.5892857142857143,0.5357142857142857,0.5892857142857143,0.5535714285714286
152,152,0.6607142857142857,0.6607142857142857,0.6607142857142857,0.6607142857142857,0.5892857142857143,0.5535714285714286,0.5892857142857143,0.5357142857142857,0.5892857142857143,0.5892857142857143
153,153,0.6607142857142857,0.6607142857142857,0.6607142857142857,0.6607142857142857,0.5892857142857143,0.5357142857142857,0.5714285714285714,0.5535714285714286,0.5714285714285714,0.5357142857142857
154,154,0.625,0.625,0.625,0.625,0.5892857142857143,0.5535714285714286,0.5714285714285714,0.5535714285714286,0.5714285714285714,0.5535714285714286
155,155,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.625,0.5535714285714286,0.5714285714285714,0.5535714285714286,0.5714285714285714,0.5357142857142857
156,156,0.6607142857142857,0.6607142857142857,0.6607142857142857,0.6607142857142857,0.625,0.5892857142857143,0.5714285714285714,0.5535714285714286,0.5714285714285714,0.5535714285714286
157,157,0.625,0.625,0.625,0.625,0.6071428571428571,0.625,0.5714285714285714,0.5535714285714286,0.5714285714285714,0.5535714285714286
